percentLate,maxLateness,gatesNeeded
0.4,4.35,24
0.4,4.5,27
0.4,4.65,25
0.4,4.8,28
0.4,4.95,23
0.4,5.1,22
0.4,5.25,25
0.4,5.4,28
0.4,5.55,22
0.4,5.7,25
0.4,5.85,25
0.5,0,22
0.5,0.15,22
0.5,0.3,22
0.5,0.45,22
0.5,0.6,21
0.5,0.75,21
0.5,0.9,21
0.5,1.05,20
0.5,1.2,22
0.5,1.35,21
0.5,1.5,20
0.5,1.65,19
0.5,1.8,23
0.5,1.95,21
0.5,2.1,20
0.5,2.25,21
0.5,2.4,21
0.5,2.55,23
0.5,2.7,22
0.5,2.85,23
0.5,3,21
0.5,3.15,22
0.5,3.3,24
0.5,3.45,24
0.5,3.6,23
0.5,3.75,23
0.5,3.9,24
0.5,4.05,28
0.5,4.2,22
0.5,4.35,27
0.5,4.5,27
0.5,4.65,27
0.5,4.8,28
0.5,4.95,27
0.5,5.1,28
0.5,5.25,26
0.5,5.4,24
0.5,5.55,27
0.5,5.7,28
0.5,5.85,27
0.6,0,22
0.6,0.15,21
0.6,0.3,20
0.6,0.45,20
0.6,0.6,19
0.6,0.75,20
0.6,0.9,21
0.6,1.05,21
0.6,1.2,18
0.6,1.35,21
0.6,1.5,18
0.6,1.65,20
0.6,1.8,20
0.6,1.95,19
0.6,2.1,19
0.6,2.25,21
0.6,2.4,19
0.6,2.55,23
0.6,2.7,20
0.6,2.85,23
0.6,3,22
0.6,3.15,23
0.6,3.3,22
0.6,3.45,21
0.6,3.6,25
0.6,3.75,22
0.6,3.9,24
0.6,4.05,26
0.6,4.2,25
0.6,4.35,23
0.6,4.5,26
0.6,4.65,27
0.6,4.8,29
0.6,4.95,26
0.6,5.1,30
0.6,5.25,30
0.6,5.4,31
0.6,5.55,29
0.6,5.7,33
0.6,5.85,29
0.7,0,22
0.7,0.15,21
0.7,0.3,21
0.7,0.45,20
0.7,0.6,20
0.7,0.75,21
0.7,0.9,20
0.7,1.05,17
0.7,1.2,19
0.7,1.35,20
0.7,1.5,20
0.7,1.65,19
0.7,1.8,19
0.7,1.95,20
0.7,2.1,21
0.7,2.25,19
0.7,2.4,20
0.7,2.55,24
0.7,2.7,18
0.7,2.85,18
0.7,3,20
0.7,3.15,21
0.7,3.3,20
0.7,3.45,23
0.7,3.6,24
0.7,3.75,26
0.7,3.9,20
0.7,4.05,25
0.7,4.2,25
0.7,4.35,28
0.7,4.5,27
0.7,4.65,25
0.7,4.8,28
0.7,4.95,28
0.7,5.1,29
0.7,5.25,29
0.7,5.4,28
0.7,5.55,28
0.7,5.7,29
0.7,5.85,27
0.8,0,22
0.8,0.15,21
0.8,0.3,21
0.8,0.45,21
0.8,0.6,20
0.8,0.75,19
0.8,0.9,20
0.8,1.05,19
0.8,1.2,19
0.8,1.35,20
0.8,1.5,19
0.8,1.65,19
0.8,1.8,18
0.8,1.95,18
0.8,2.1,18
0.8,2.25,17
0.8,2.4,20
0.8,2.55,20
0.8,2.7,19
0.8,2.85,18
0.8,3,21
0.8,3.15,23
0.8,3.3,22
0.8,3.45,21
0.8,3.6,23
0.8,3.75,24
0.8,3.9,23
0.8,4.05,24
0.8,4.2,25
0.8,4.35,23
0.8,4.5,23
0.8,4.65,25
0.8,4.8,26
0.8,4.95,25
0.8,5.1,26
0.8,5.25,27
0.8,5.4,37
0.8,5.55,29
0.8,5.7,31
0.8,5.85,29
0.9,0,22
0.9,0.15,21
0.9,0.3,20
0.9,0.45,20
0.9,0.6,20
0.9,0.75,18
0.9,0.9,19
0.9,1.05,19
0.9,1.2,18
0.9,1.35,17
0.9,1.5,19
0.9,1.65,16
0.9,1.8,18
0.9,1.95,21
0.9,2.1,20
0.9,2.25,17
0.9,2.4,16
0.9,2.55,19
0.9,2.7,18
0.9,2.85,22
0.9,3,21
0.9,3.15,23
0.9,3.3,20
0.9,3.45,22
0.9,3.6,25
0.9,3.75,23
0.9,3.9,23
0.9,4.05,26
0.9,4.2,27
0.9,4.35,29
0.9,4.5,24
0.9,4.65,25
0.9,4.8,33
0.9,4.95,31
0.9,5.1,32
0.9,5.25,26
0.9,5.4,31
0.9,5.55,35
0.9,5.7,33
0.9,5.85,32
1,0,22
1,0.15,21
1,0.3,20
1,0.45,21
1,0.6,20
1,0.75,19
1,0.9,20
1,1.05,17
1,1.2,18
1,1.35,19
1,1.5,17
1,1.65,16
1,1.8,17
1,1.95,18
1,2.1,18
1,2.25,18
1,2.4,21
1,2.55,18
1,2.7,20
1,2.85,23
1,3,20
1,3.15,23
1,3.3,21
1,3.45,21
1,3.6,21
1,3.75,22
1,3.9,24
1,4.05,24
1,4.2,25
1,4.35,26
1,4.5,26
1,4.65,29
1,4.8,33
1,4.95,29
1,5.1,24
1,5.25,32
1,5.4,32
1,5.55,30
1,5.7,32
1,5.85,33
