n,c
6,4
10,10
23,7
31,9
40,10
48,12
58,12
69,11
79,11
88,12
97,13
108,12
116,14
127,13
136,14
150,10
158,12
165,15
177,13
189,11
190,20
210,10
207,23
228,12
234,16
244,16
249,21
269,11
272,18
275,25
291,19
301,19
314,16
322,18
333,17
340,20
350,20
366,14
366,24
389,11
381,29
403,17
402,28
420,20
428,22
425,35
454,16
449,31
466,24
475,25
484,26
488,32
509,21
501,39
529,21
543,17
541,29
544,36
558,32
568,32
584,26
593,27
611,19
592,48
616,34
638,22
655,15
637,43
656,34
673,27
676,34
690,30
696,34
696,44
716,34
709,51
744,26
742,38
749,41
759,41
750,60
792,28
787,43
805,35
813,37
817,43
841,29
837,43
858,32
855,45
873,37
881,39
895,35
900,40
910,40
915,45
922,48
936,44
952,38
